word,question-1,question-2,question-3,question-4,question-5,question-6,question-7,question-8,question-9,question-10,question-11,question-12,question-13,question-14
frequ,0.019652546020370587,0.01962404654171421,0.019669588252251916,0.019662755982850482,0.019667814753728793,0.01966782721187331,0.01958286937211022,0.03864892542744898,0.01703678534719141,0.017039126662626254,0.01705876506035499,0.017050259032005608,0.01676187940419245,0.017638470068847285
correct,0.019644958694032835,0.01961649216775523,0.0196619811752281,0.019655156828030814,0.01966020973365391,0.019660222177350445,0.019575362440389956,0.01969026035660244,0.06812736728041306,0.03406836219505836,0.01705380237887236,0.017045303769024526,0.06702868519708183,0.01763298417193187
deposit,0.019637380149839886,0.019608946512483336,0.0196543829184719,0.019647566478179383,0.01965261352987323,0.019652625959149694,0.019567864136318704,0.019682629276190074,0.07170812625528314,0.01731914783514085,0.017048844026473057,0.06816141129739618,0.01762332795694966,0.017627503391016715
wrong,0.019629810370861644,0.01960140955913939,0.01964679346495026,0.01963998491630447,0.019645026125364454,0.019645038540248672,0.01956037444338171,0.019675007062465503,0.05676078507331428,0.0692558178584198,0.01704388999686641,0.017936450048016916,0.07047142469374187,0.017622027718154534
transact,0.01962224934021366,0.019593881291009318,0.01963921279767615,0.019632412125460234,0.019637447503151242,0.01963745990367097,0.019552893345108464,0.019667393698270086,0.019642447596373732,0.0729579041020375,0.017038940283774534,0.017930681456592237,0.018576633631709565,0.017616557145415296
i,0.01961469704105699,0.01958636169142395,0.019631640899708397,0.019624848088746552,0.019629877646303077,0.019629890032486,0.019545420825072518,0.019659789166491633,0.019634871957222272,0.03853631797905318,0.017033994880932306,0.017924918427943765,0.01857022520823386,0.017611091664886214
see,0.019607153456598036,0.01957885074375889,0.019624077754151526,0.019617292789308856,0.019622316537935117,0.01962232890980884,0.019537956866891353,0.01965219345006426,0.01962730507768809,0.019631851506637116,0.034058107564174656,0.01791916095313617,0.018563823413132237,0.017605631268671672
vouch,0.019599618570088385,0.019571348431434328,0.01961652334415559,0.019609746210337967,0.019614764161208012,0.01961477651880007,0.019530501454226207,0.01964460653196819,0.019619746940901822,0.019624288117729392,0.06925540253835444,0.017913409023254192,0.07422971293994134,0.0704007037955727
check,0.01959209236482466,0.019563854737914915,0.01960897765291604,0.019602208335069954,0.01960722049932776,0.019607232842665606,0.019523054570781958,0.019637028395229638,0.019612197530039573,0.019616733464850926,0.03647872187297875,0.017907662629402597,0.019622846197925557,0.018557002128907527
which,0.01958457482414835,0.019556369646709596,0.01960144066367355,0.019594679146785976,0.019599685535545544,0.019599697864656568,0.019515616200306934,0.01962945902292062,0.019604656828322718,0.019609187531195903,0.03713126722214808,0.01790192176270613,0.019615293209760975,0.018550613996285707
us,0.019577065931445675,0.01954889314137146,0.019593912359713854,0.019587158628812107,0.01959215925315759,0.019592171568069097,0.0195081863265928,0.01962189839815881,0.01959712481901778,0.01960165030000374,0.03780711738899623,0.017896186414309418,0.01960774893761883,0.018544232457105708
show,0.019569565670147414,0.019541425205497585,0.01958639272436761,0.019579646764519214,0.019584641635504992,0.01958465393624422,0.019500764933474395,0.01961434650410737,0.019589601485436262,0.019594121754558918,0.038507525754795914,0.017890456575376967,0.019600213364747147,0.01853785750003231
wher,0.019562074023728764,0.01953396582272889,0.01957888174101022,0.01957214353732277,0.019577132665973572,0.019577144952567686,0.019493352004829573,0.01960680332397481,0.01958208681093448,0.01958660187819085,0.019616918093949862,0.035769464474186115,0.019592686474439003,0.018531489113757533
bank,0.019554590975709184,0.019526514976749985,0.019571379393061708,0.019564648930682712,0.01956963232799371,0.0195696446004698,0.01948594752457907,0.019599268841014806,0.01957458077891344,0.01957909065427369,0.019609371947284644,0.07279426643280679,0.01958516825003235,0.018525127287000606
withdraw,0.019547116509652223,0.01951907265128902,0.019563885663986532,0.019557162928103295,0.019562140605040208,0.0195621528634253,0.019478551476686357,0.019591743038526066,0.01956708337281864,0.01957158806622623,0.019601834503491587,0.03844514241898105,0.019577658674909872,0.018518772008507833
auto,0.019539650609165415,0.019511638830117542,0.019556400537293454,0.01954968551313294,0.01955465748063213,0.019554669724953164,0.019471163845157496,0.01958422589985217,0.019559594576139958,0.019564094097511687,0.019594305745854083,0.019584563601691796,0.01957015773249884,0.07404969306821016
